Points_0,Points_1,Points_2,U_0,U_1,U_2,U_Magnitude
-0.0179705,0.05,0,0.000985661,1.00591,3.05484e-09,1.00591
-0.017907,0.05,0,0.000980346,1.0059,3.77596e-09,1.0059
-0.0178435,0.05,0,0.000974595,1.0059,4.76481e-09,1.0059
-0.01778,0.05,0,0.000967963,1.0059,6.29543e-09,1.0059
-0.0177165,0.05,0,0.00096133,1.00589,7.82605e-09,1.00589
-0.017653,0.05,0,0.000954697,1.00589,9.35666e-09,1.00589
-0.0175895,0.05,0,0.000948065,1.00589,1.08873e-08,1.00589
-0.017526,0.05,0,0.000941432,1.00588,1.24179e-08,1.00588
-0.0174625,0.05,0,0.000934799,1.00588,1.39486e-08,1.00588
-0.017399,0.05,0,0.000928166,1.00588,1.54792e-08,1.00588
-0.0173355,0.05,0,0.000921534,1.00587,1.70098e-08,1.00587
-0.017272,0.05,0,0.000914901,1.00587,1.85405e-08,1.00587
-0.0172085,0.05,0,0.000908268,1.00587,2.00711e-08,1.00587
-0.017145,0.05,0,0.000901636,1.00586,2.16017e-08,1.00586
-0.0170815,0.05,0,0.000895003,1.00586,2.31324e-08,1.00586
-0.017018,0.05,0,0.00088837,1.00586,2.4663e-08,1.00586
-0.0169545,0.05,0,0.000881738,1.00585,2.61937e-08,1.00585
-0.016891,0.05,0,0.000875105,1.00585,2.77243e-08,1.00585
-0.0168275,0.05,0,0.000868472,1.00585,2.92549e-08,1.00585
-0.016764,0.05,0,0.00086184,1.00584,3.07856e-08,1.00584
-0.0167005,0.05,0,0.000855207,1.00584,3.23162e-08,1.00584
-0.016637,0.05,0,0.000848574,1.00584,3.38468e-08,1.00584
-0.0165735,0.05,0,0.000841941,1.00583,3.53775e-08,1.00583
-0.01651,0.05,0,0.000835309,1.00583,3.69081e-08,1.00583
-0.0164465,0.05,0,0.000828676,1.00583,3.84387e-08,1.00583
-0.016383,0.05,0,0.000822043,1.00582,3.99694e-08,1.00582
-0.0163195,0.05,0,0.000815411,1.00582,4.15e-08,1.00582
-0.016256,0.05,0,0.000808778,1.00582,4.30306e-08,1.00582
-0.0161925,0.05,0,0.000802145,1.00581,4.45612e-08,1.00581
-0.016129,0.05,0,0.000795513,1.00581,4.60919e-08,1.00581
-0.0160655,0.05,0,0.00078888,1.00581,4.76225e-08,1.00581
-0.016002,0.05,0,0.000782247,1.0058,4.91531e-08,1.0058
-0.0159385,0.05,0,0.000775614,1.0058,5.06838e-08,1.0058
-0.015875,0.05,0,0.000769067,1.0058,5.22703e-08,1.0058
-0.0158115,0.05,0,0.000763037,1.0058,5.41954e-08,1.0058
-0.015748,0.05,0,0.000757007,1.00579,5.61205e-08,1.00579
-0.0156845,0.05,0,0.000750976,1.00579,5.80455e-08,1.00579
-0.015621,0.05,0,0.000744946,1.00579,5.99705e-08,1.00579
-0.0155575,0.05,0,0.000738916,1.00579,6.18956e-08,1.00579
-0.015494,0.05,0,0.000732885,1.00578,6.38207e-08,1.00578
-0.0154305,0.05,0,0.000726855,1.00578,6.57457e-08,1.00578
-0.015367,0.05,0,0.000720825,1.00578,6.76708e-08,1.00578
-0.0153035,0.05,0,0.000714795,1.00578,6.95959e-08,1.00578
-0.01524,0.05,0,0.000708764,1.00578,7.15209e-08,1.00578
-0.0151765,0.05,0,0.000702734,1.00577,7.3446e-08,1.00577
-0.015113,0.05,0,0.000696704,1.00577,7.53711e-08,1.00577
-0.0150495,0.05,0,0.000690674,1.00577,7.72961e-08,1.00577
-0.014986,0.05,0,0.000684643,1.00577,7.92212e-08,1.00577
-0.0149225,0.05,0,0.000678613,1.00577,8.11463e-08,1.00577
-0.014859,0.05,0,0.000672583,1.00576,8.30713e-08,1.00576
-0.0147955,0.05,0,0.000666553,1.00576,8.49964e-08,1.00576
-0.014732,0.05,0,0.000660522,1.00576,8.69215e-08,1.00576
-0.0146685,0.05,0,0.000654492,1.00576,8.88465e-08,1.00576
-0.014605,0.05,0,0.000648462,1.00576,9.07716e-08,1.00576
-0.0145415,0.05,0,0.000642431,1.00575,9.26967e-08,1.00575
-0.014478,0.05,0,0.000636401,1.00575,9.46217e-08,1.00575
-0.0144145,0.05,0,0.000630371,1.00575,9.65468e-08,1.00575
-0.014351,0.05,0,0.000624341,1.00575,9.84719e-08,1.00575
-0.0142875,0.05,0,0.00061831,1.00575,1.00397e-07,1.00575
-0.014224,0.05,0,0.00061228,1.00574,1.02322e-07,1.00574
-0.0141605,0.05,0,0.00060625,1.00574,1.04247e-07,1.00574
-0.014097,0.05,0,0.00060022,1.00574,1.06172e-07,1.00574
-0.0140335,0.05,0,0.000594189,1.00574,1.08097e-07,1.00574
-0.01397,0.05,0,0.000588159,1.00573,1.10022e-07,1.00573
-0.0139065,0.05,0,0.000582129,1.00573,1.11947e-07,1.00573
-0.013843,0.05,0,0.000574548,1.00573,1.17892e-07,1.00573
-0.0137795,0.05,0,0.000566955,1.00573,1.23868e-07,1.00573
-0.013716,0.05,0,0.000559362,1.00573,1.29845e-07,1.00573
-0.0136525,0.05,0,0.000551769,1.00573,1.35821e-07,1.00573
-0.013589,0.05,0,0.000544176,1.00573,1.41797e-07,1.00573
-0.0135255,0.05,0,0.000536584,1.00573,1.47774e-07,1.00573
-0.013462,0.05,0,0.000528991,1.00573,1.5375e-07,1.00573
-0.0133985,0.05,0,0.000521398,1.00573,1.59727e-07,1.00573
-0.013335,0.05,0,0.000513805,1.00573,1.65703e-07,1.00573
-0.0132715,0.05,0,0.000506212,1.00572,1.71679e-07,1.00572
-0.013208,0.05,0,0.000498619,1.00572,1.77656e-07,1.00572
-0.0131445,0.05,0,0.000491026,1.00572,1.83632e-07,1.00572
-0.013081,0.05,0,0.000483433,1.00572,1.89609e-07,1.00572
-0.0130175,0.05,0,0.00047584,1.00572,1.95585e-07,1.00572
-0.012954,0.05,0,0.000468247,1.00572,2.01561e-07,1.00572
-0.0128905,0.05,0,0.000460654,1.00572,2.07538e-07,1.00572
-0.012827,0.05,0,0.000453062,1.00572,2.13514e-07,1.00572
-0.0127635,0.05,0,0.000445469,1.00572,2.19491e-07,1.00572
-0.0127,0.05,0,0.000437876,1.00572,2.25467e-07,1.00572
-0.0126365,0.05,0,0.000430283,1.00572,2.31443e-07,1.00572
-0.012573,0.05,0,0.00042269,1.00572,2.3742e-07,1.00572
-0.0125095,0.05,0,0.000415097,1.00571,2.43396e-07,1.00571
-0.012446,0.05,0,0.000407504,1.00571,2.49373e-07,1.00571
-0.0123825,0.05,0,0.000399911,1.00571,2.55349e-07,1.00571
-0.012319,0.05,0,0.000392318,1.00571,2.61325e-07,1.00571
-0.0122555,0.05,0,0.000384725,1.00571,2.67302e-07,1.00571
-0.012192,0.05,0,0.000377133,1.00571,2.73278e-07,1.00571
-0.0121285,0.05,0,0.00036954,1.00571,2.79255e-07,1.00571
-0.012065,0.05,0,0.000361947,1.00571,2.85231e-07,1.00571
-0.0120015,0.05,0,0.000354354,1.00571,2.91207e-07,1.00571
-0.011938,0.05,0,0.000346761,1.00571,2.97184e-07,1.00571
-0.0118745,0.05,0,0.000339658,1.00571,3.03278e-07,1.00571
-0.011811,0.05,0,0.000332607,1.00571,3.09385e-07,1.00571
-0.0117475,0.05,0,0.000325557,1.00571,3.15493e-07,1.00571
-0.011684,0.05,0,0.000318507,1.00571,3.216e-07,1.00571
-0.0116205,0.05,0,0.000311456,1.00571,3.27707e-07,1.00571
-0.011557,0.05,0,0.000304406,1.00571,3.33814e-07,1.00571
-0.0114935,0.05,0,0.000297356,1.00571,3.39921e-07,1.00571
-0.01143,0.05,0,0.000290306,1.00571,3.46029e-07,1.00571
-0.0113665,0.05,0,0.000283255,1.00571,3.52136e-07,1.00571
-0.011303,0.05,0,0.000276205,1.00572,3.58243e-07,1.00572
-0.0112395,0.05,0,0.000269155,1.00572,3.6435e-07,1.00572
-0.011176,0.05,0,0.000262105,1.00572,3.70457e-07,1.00572
-0.0111125,0.05,0,0.000255054,1.00572,3.76565e-07,1.00572
-0.011049,0.05,0,0.000248004,1.00572,3.82672e-07,1.00572
-0.0109855,0.05,0,0.000240954,1.00572,3.88779e-07,1.00572
-0.010922,0.05,0,0.000233903,1.00572,3.94886e-07,1.00572
-0.0108585,0.05,0,0.000226853,1.00572,4.00993e-07,1.00572
-0.010795,0.05,0,0.000219803,1.00572,4.07101e-07,1.00572
-0.0107315,0.05,0,0.000212753,1.00572,4.13208e-07,1.00572
-0.010668,0.05,0,0.000205702,1.00572,4.19315e-07,1.00572
-0.0106045,0.05,0,0.000198652,1.00572,4.25422e-07,1.00572
-0.010541,0.05,0,0.000191602,1.00573,4.31529e-07,1.00573
-0.0104775,0.05,0,0.000184551,1.00573,4.37637e-07,1.00573
-0.010414,0.05,0,0.000177501,1.00573,4.43744e-07,1.00573
-0.0103505,0.05,0,0.000170451,1.00573,4.49851e-07,1.00573
-0.010287,0.05,0,0.000163401,1.00573,4.55958e-07,1.00573
-0.0102235,0.05,0,0.00015635,1.00573,4.62066e-07,1.00573
-0.01016,0.05,0,0.0001493,1.00573,4.68173e-07,1.00573
-0.0100965,0.05,0,0.00014225,1.00573,4.7428e-07,1.00573
-0.010033,0.05,0,0.000135199,1.00573,4.80387e-07,1.00573
-0.0099695,0.05,0,0.000128149,1.00573,4.86494e-07,1.00573
-0.009906,0.05,0,0.000119692,1.00573,5.07182e-07,1.00573
-0.0098425,0.05,0,0.000111082,1.00574,5.29459e-07,1.00574
-0.009779,0.05,0,0.000102472,1.00574,5.51736e-07,1.00574
-0.0097155,0.05,0,9.38621e-05,1.00574,5.74014e-07,1.00574
-0.009652,0.05,0,8.5252e-05,1.00574,5.96291e-07,1.00574
-0.0095885,0.05,0,7.6642e-05,1.00574,6.18568e-07,1.00574
-0.009525,0.05,0,6.80318e-05,1.00575,6.40846e-07,1.00575
-0.0094615,0.05,0,5.94218e-05,1.00575,6.63123e-07,1.00575
-0.009398,0.05,0,5.08116e-05,1.00575,6.854e-07,1.00575
-0.0093345,0.05,0,4.22015e-05,1.00575,7.07678e-07,1.00575
-0.009271,0.05,0,3.35915e-05,1.00575,7.29955e-07,1.00575
-0.0092075,0.05,0,2.49813e-05,1.00575,7.52232e-07,1.00575
-0.009144,0.05,0,1.63713e-05,1.00576,7.74509e-07,1.00576
-0.0090805,0.05,0,7.76115e-06,1.00576,7.96787e-07,1.00576
-0.009017,0.05,0,-8.48995e-07,1.00576,8.19064e-07,1.00576
-0.0089535,0.05,0,-9.45902e-06,1.00576,8.41341e-07,1.00576
-0.00889,0.05,0,-1.80692e-05,1.00576,8.63618e-07,1.00576
-0.0088265,0.05,0,-2.66792e-05,1.00577,8.85896e-07,1.00577
-0.008763,0.05,0,-3.52893e-05,1.00577,9.08173e-07,1.00577
-0.0086995,0.05,0,-4.38995e-05,1.00577,9.3045e-07,1.00577
-0.008636,0.05,0,-5.25095e-05,1.00577,9.52727e-07,1.00577
-0.0085725,0.05,0,-6.11197e-05,1.00577,9.75005e-07,1.00577
